Haushaltsjahr;Haushaltsstufe 0;Fachgruppe;katkey;EXEMPLARANZ;PREIS;Bestellpreis
;;;1964668;1,00;14,00;15,00
;;;1964677;1,00;23,00;25,00
;;;1964686;1,00;14,00;16,00
;;;1964687;1,00;21,00;22,00
;;;1964690;1,00;13,00;15,00
;;;1964701;1,00;26,00;28,00
;;;1964777;1,00;21,00;22,00
;;;1964785;1,00;16,00;17,00
;;;1964795;1,00;15,00;16,00
;;;1964802;1,00;24,00;27,00
;;;1964823;1,00;13,00;14,00
;;;1964826;1,00;18,00;18,00
;;;1964848;1,00;17,00;18,00
;;;1964884;1,00;13,00;15,00
;;;1964885;1,00;8,00;9,00
;;;1964894;1,00;24,00;25,00
;;;1964964;1,00;19,00;20,00
;;;1965041;1,00;7,00;8,00
;;;1965042;1,00;10,00;11,00
;;;1965044;1,00;25,00;26,00
;;;1965049;1,00;21,00;22,00
;;;1965052;1,00;21,00;22,00
;;;1965054;1,00;21,00;22,00
;;;1965102;1,00;11,00;12,00
;;;1965113;1,00;28,00;30,00
;;;1965148;1,00;10,00;11,00
;;;1965178;1,00;24,00;25,00
;;;1965181;1,00;19,00;20,00
;;;1965184;1,00;14,00;14,00
;;;1965192;1,00;11,00;11,00
;;;1965216;1,00;14,00;14,00
;;;1965219;1,00;15,00;15,00
;;;1965221;1,00;15,00;16,00
;;;1965223;1,00;12,00;12,00
;;;1965228;1,00;12,00;12,00
;;;1965229;1,00;15,00;16,00
;;;1965238;1,00;15,00;16,00
;;;1965341;1,00;16,00;17,00
;;;1965352;1,00;21,00;22,00
;;;1965353;1,00;23,00;24,00
;;;1965354;1,00;12,00;12,00
;;;1965363;1,00;13,00;13,00
;;;1965364;1,00;13,00;13,00
;;;1965365;1,00;13,00;13,00
;;;1965379;1,00;16,00;18,00
;;;1965381;1,00;17,00;18,00
;;;1965394;1,00;13,00;13,00
;;;1965411;1,00;12,00;13,00
;;;1965415;1,00;21,00;22,00
;;;1965416;1,00;17,00;18,00
;;;1965417;1,00;13,00;13,00
;;;1965497;1,00;18,00;20,00
;;;1965548;1,00;16,00;17,00
;;;1965567;1,00;16,00;16,00
;;;1965584;1,00;15,00;15,00
;;;1965589;1,00;17,00;18,00
;;;1965667;1,00;9,00;10,00
;;;1965698;1,00;11,00;12,00
;;;1965708;1,00;27,00;29,00
;;;1965743;1,00;22,00;23,00
;;;1965826;1,00;11,00;12,00
;;;1965844;1,00;15,00;16,00
;;;1965860;2,00;26,00;28,00
;;;1965863;1,00;23,00;24,00
;;;1965872;1,00;21,00;22,00
;;;1965881;1,00;23,00;24,00
;;;1965895;1,00;12,00;12,00
;;;1965896;1,00;13,00;13,00
;;;1965923;1,00;21,00;22,00
;;;1965927;1,00;14,00;15,00
;;;1965995;1,00;17,00;19,00
;;;1966016;1,00;15,00;16,00
;;;1966018;1,00;16,00;17,00
;;;1966020;1,00;14,00;15,00
;;;1966041;1,00;15,00;17,00
;;;1966042;1,00;13,00;14,00
;;;1966065;1,00;13,00;13,00
;;;1966177;1,00;10,00;10,00
;;;1966212;1,00;19,00;20,00
;;;1966213;1,00;26,00;28,00
;;;1966225;1,00;26,00;28,00
;;;1966229;1,00;21,00;22,00
;;;1966277;1,00;17,00;18,00
;;;1966278;1,00;22,00;23,00
;;;1966343;1,00;17,00;20,00
;;;1966394;1,00;17,00;17,00
;;;1966405;1,00;21,00;22,00
;;;1966486;1,00;23,00;24,00
;;;1966489;1,00;17,00;17,00
;;;1966495;1,00;21,00;22,00
;;;1966505;1,00;14,00;15,00
;;;1966514;1,00;24,00;25,00
;;;1966554;1,00;23,00;24,00
;;;1966555;1,00;16,00;16,00
;;;1966561;1,00;24,00;25,00
;;;1966562;1,00;17,00;18,00
;;;1966564;1,00;23,00;24,00
;;;1966597;1,00;25,00;26,00
;;;1966807;1,00;16,00;18,00
;;;1966904;1,00;11,00;12,00
;;;1966910;1,00;20,00;22,00
;;;1966918;1,00;15,00;15,00
;;;1966921;1,00;16,00;16,00
;;;1966936;1,00;9,00;9,00
;;;1966937;1,00;16,00;16,00
;;;1966939;1,00;7,00;7,00
;;;1966940;1,00;7,00;7,00
;;;1966948;1,00;10,00;10,00
;;;1967084;1,00;23,00;24,00
;;;1967119;1,00;17,00;18,00
;;;1967174;1,00;21,00;22,00
;;;1967176;1,00;25,00;26,00
;;;1967212;1,00;17,00;18,00
;;;1967213;1,00;15,00;15,00
;;;1967214;1,00;21,00;22,00
;;;1967243;1,00;21,00;22,00
;;;1967250;1,00;22,00;23,00
;;;1967252;1,00;34,00;36,00
;;;1967254;1,00;24,00;25,00
;;;1967269;1,00;17,00;18,00
;;;1967271;1,00;25,00;26,00
;;;1967275;1,00;19,00;20,00
;;;1967348;1,00;8,00;9,00
;;;1967352;1,00;9,00;10,00
;;;1967667;1,00;23,00;24,00
;;;1967732;1,00;15,00;16,00
;;;1967839;1,00;27,00;28,00
;;;1967840;1,00;26,00;28,00
;;;1967874;1,00;14,00;15,00
;;;1967881;1,00;14,00;15,00
;;;1967903;1,00;16,00;18,00
;;;1967904;1,00;23,00;24,00
;;;1968024;1,00;22,00;23,00
;;;1968025;1,00;15,00;16,00
;;;1968069;1,00;12,00;13,00
;;;1968133;1,00;8,00;8,00
;;;1968144;1,00;23,00;25,00
;;;1968146;1,00;11,00;12,00
;;;1968281;1,00;22,00;23,00
;;;1968417;1,00;14,00;14,00
;;;1968430;1,00;12,00;12,00
;;;1968431;1,00;14,00;14,00
;;;1968434;1,00;15,00;16,00
;;;1969383;1,00;15,00;15,00
;;;1969385;1,00;19,00;19,00
;;;1969391;1,00;24,00;25,00
;;;1969398;1,00;18,00;18,00
;;;1969436;1,00;19,00;20,00
;;;1969656;1,00;15,00;16,00
;;;1969739;1,00;22,00;23,00
;;;1971456;1,00;10,00;10,00
;;;1971463;1,00;10,00;10,00
;;;1971496;1,00;10,00;10,00
;;;1971498;1,00;10,00;10,00
;;;1971502;1,00;10,00;10,00
;;;1971503;1,00;10,00;10,00
;;;1971654;1,00;15,00;15,00
;;;1971969;1,00;7,00;8,00
;;;1972742;1,00;15,00;17,00
;;;1973233;1,00;13,00;15,00
;;"0003 CDs";1277233;1,00;8,00;10,00
;;;1287889;1,00;14,00;15,00
;;;1396194;1,00;9,00;10,00
;;;1420976;1,00;7,00;8,00
;;;1421763;1,00;7,00;8,00
;;;1463517;1,00;7,00;8,00
;;;1478635;1,00;11,00;12,00
;;;1478636;1,00;11,00;12,00
;;;1487652;1,00;7,00;8,00
;;;1487653;1,00;7,00;8,00
;;;1499892;1,00;5,00;53,00
;;;1564759;1,00;11,00;12,00
;;;1577783;1,00;12,00;15,00
;;;1577786;1,00;12,00;15,00
;;;1578940;1,00;11,00;12,00
;;;1611305;1,00;12,00;15,00
;;;1614535;1,00;11,00;12,00
;;;1620243;1,00;11,00;12,00
;;;1620246;1,00;11,00;12,00
;;;1621794;1,00;11,00;12,00
;;;1632676;1,00;12,00;15,00
;;;1632677;1,00;12,00;15,00
;;;1633891;1,00;11,00;12,00
;;;1646190;1,00;14,00;15,00
;;;1646195;1,00;12,00;15,00
;;;1646765;1,00;14,00;17,00
;;;1647908;1,00;11,00;12,00
;;;1660667;1,00;11,00;12,00
;;;1663780;1,00;12,00;15,00
;;;1666213;1,00;14,00;17,00
;;;1669683;1,00;11,00;12,00
;;;1671508;1,00;12,00;15,00
;;;1673143;1,00;11,00;12,00
;;;1682750;1,00;12,00;15,00
;;;1686938;1,00;9,00;10,00
;;;1686939;1,00;9,00;10,00
;;;1686940;1,00;9,00;10,00
;;;1687063;1,00;14,00;17,00
;;;1697396;1,00;11,00;12,00
;;;1697600;1,00;20,00;22,00
;;;1700068;1,00;14,00;17,00
;;;1700529;1,00;11,00;12,00
;;;1701098;2,00;12,00;15,00
;;;1705128;1,00;11,00;12,00
;;;1707946;1,00;9,00;10,00
;;;1707947;1,00;9,00;10,00
;;;1707949;1,00;9,00;10,00
;;;1712079;1,00;9,00;10,00
;;;1714427;1,00;11,00;12,00
;;;1718144;1,00;9,00;10,00
;;;1718458;1,00;16,00;17,00
;;;1718787;1,00;9,00;10,00
;;;1718788;1,00;9,00;10,00
;;;1718789;1,00;9,00;10,00
;;;1718790;1,00;9,00;10,00
;;;1718792;1,00;9,00;10,00
;;;1718793;1,00;9,00;10,00
;;;1718969;1,00;12,00;15,00
;;;1720307;1,00;9,00;10,00
;;;1731585;1,00;9,00;10,00
;;;1734303;1,00;11,00;12,00
;;;1734649;1,00;14,00;17,00
;;;1736535;1,00;12,00;15,00
;;;1741100;1,00;9,00;10,00
;;;1741101;1,00;9,00;10,00
;;;1741102;1,00;9,00;10,00
;;;1741254;1,00;9,00;10,00
;;;1745332;1,00;9,00;10,00
;;;1745337;1,00;9,00;10,00
;;;1748034;1,00;9,00;10,00
;;;1749364;1,00;9,00;10,00
;;;1750224;1,00;10,00;13,00
;;;1750341;2,00;14,00;16,00
;;;1751352;1,00;9,00;10,00
;;;1753860;1,00;14,00;17,00
;;;1754577;1,00;12,00;15,00
;;;1761789;1,00;9,00;10,00
;;;1768120;1,00;11,00;12,00
;;;1768155;1,00;14,00;17,00
;;;1768778;1,00;9,00;10,00
;;;1768780;1,00;9,00;10,00
;;;1771675;1,00;11,00;12,00
;;;1771679;1,00;11,00;12,00
;;;1772743;1,00;12,00;15,00
;;;1777561;1,00;17,00;19,00
;;;1779803;1,00;12,00;15,00
;;;1785525;1,00;7,00;8,00
;;;1785527;1,00;7,00;8,00
;;;1785530;1,00;7,00;8,00
;;;1785531;1,00;7,00;79,00
;;;1789721;1,00;14,00;17,00
;;;1794951;1,00;13,00;14,00
;;;1799375;1,00;14,00;17,00
;;;1803532;1,00;12,00;15,00
;;;1816477;1,00;7,00;8,00
